,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
19,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-6,0.05086915,0.2477508,1860.2635980394548,2132.964010686422,3981.4259248621324,0.06838242852650929,-258.64267,101.40361,-5.986651,10.867173,-21.002686,9.383393,-19.679684,-8.526947,-11.304612,-7.923687,-7.013875,-2.2977035,-10.789282,-5.9831996,-1.9873172,-4.9453697,-10.667704,-0.7051494,-4.4662924,-6.7122574,surati
20,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-7,0.040552374,0.25966573,1726.599717154262,2020.6979998448192,3617.428125907024,0.0644274259868421,-282.63416,107.74483,-7.9610577,10.895196,-21.923576,8.886386,-19.494808,-11.983163,-9.119438,-8.595745,-8.348405,-2.799826,-12.205247,-7.8022747,-1.9346863,-4.7425804,-11.225024,1.1014289,-4.452767,-6.3148985,surati
21,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-8,0.029934106,0.23311871,1473.0050424970977,1890.3635900397694,2965.6320672286183,0.04859418839493034,-347.116,108.39822,-1.5123881,18.867176,-5.8684406,5.6877227,-19.75956,-10.654897,-16.827635,-12.238077,-4.446337,-7.731444,-14.777436,-9.056643,-5.260652,-6.388182,-7.868471,-3.4462569,-2.316298,-6.51933,surati
22,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-9,0.041259795,0.2522275,1819.103070186772,2103.960632474966,3828.6601819490133,0.06361034853908669,-283.1884,101.82339,-9.397055,17.160524,-10.077048,6.5702853,-27.719131,-13.137945,-8.588909,-10.661489,-9.004397,-0.6148314,-13.955193,-5.534894,-1.041955,-5.2975183,-11.593508,-0.29971102,-5.09061,-7.758824,surati
23,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-10,0.0353056,0.2721205,1825.3985623573697,2141.4399954387927,3928.6512439834073,0.06256651509287926,-285.97266,103.25083,-2.9129298,19.903605,-12.082598,8.759586,-20.292864,-9.475023,-11.630739,-11.519499,-9.460282,-1.5148312,-12.228554,-4.746772,-3.5889306,-6.288778,-9.302656,0.5268686,-6.2647147,-5.9374785,surati
24,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-11,0.038985528,0.25132117,2062.252353562418,2234.7924384436865,4404.190035132063,0.07875878301567338,-273.2167,91.9663,-3.5254185,17.448103,-21.132809,6.3516192,-24.695482,-8.081248,-9.554978,-12.330592,-12.624517,2.159519,-10.205153,-4.9763775,-0.6887194,-4.0323195,-8.317079,2.4717789,-3.451301,-3.6329339,surati
25,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-12,0.046449285,0.2741989,1758.6513117755162,2053.513227883317,3634.919686804615,0.0686061611116486,-261.60092,111.653564,-3.8196938,6.7196493,-26.3165,6.7929664,-18.738125,-9.655752,-9.685749,-7.6890097,-5.8076534,-1.6610059,-10.291356,-7.2522435,-1.45767,-4.704373,-9.851356,2.9017398,-5.4666233,-5.8741813,surati
26,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-13,0.040859945,0.27865312,1833.3224388419371,2087.928282279228,3896.4347721253384,0.07007780754160217,-273.52023,106.02077,-4.89747,8.528064,-21.618866,10.313907,-18.89361,-11.115067,-6.6309166,-8.814728,-7.092033,-0.8127498,-13.264789,-7.3415537,-2.000185,-4.294466,-7.9800878,3.7103705,-5.5350766,-4.9577274,surati
27,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-14,0.035649206,0.23272407,1488.1056404621543,1919.6515967313578,3116.039491068837,0.046524284055727554,-319.9598,113.80345,-1.4219389,23.29451,-10.038316,6.9766116,-16.741459,-7.3831286,-18.276056,-13.024018,-4.4670258,-8.096194,-14.27305,-7.708204,-4.5968747,-2.3643467,-6.923745,-2.8205142,-1.2287278,-8.140728,surati
28,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Angakaram/Angakaram.mp3.mp3-15,0.017109774,0.2930424,1494.6272610477188,1897.092869188487,2866.1182750355115,0.053788618607954544,-412.6451,121.70273,1.3850652,16.894302,2.1256635,8.2889385,-11.68493,-4.9560165,-12.02663,-11.344279,-7.829366,-4.818502,-9.466706,-3.5720818,-3.7912226,-1.0250252,-4.264045,-1.3217674,1.9881828,3.3499577,surati
29,carnatic/Dr S Sundar at Arkay by S Sundar/Devadi Devanukku Jaya Mangalam/Devadi Devanukku Jaya Mangalam.mp3.mp3-1,0.123808526,0.2899724,1631.7258132444651,1768.9485662773998,3192.3223631300793,0.07215829382739938,-164.51007,114.778336,-36.274326,31.386316,-2.8689742,-6.679797,-12.574368,-17.42277,-14.1883135,-4.584363,-12.268575,-6.598382,-7.040284,-6.4428153,-8.668115,1.8686048,-12.772551,-3.956837,-6.6232624,-3.6848402,surati
30,carnatic/Dr S Sundar at Arkay by S Sundar/Devadi Devanukku Jaya Mangalam/Devadi Devanukku Jaya Mangalam.mp3.mp3-2,0.14258935,0.28287625,1585.882757871438,1781.0056067869348,3105.5562211264028,0.06567760739164087,-141.69797,119.09034,-36.158257,35.977364,1.8774735,-1.6067244,-10.935017,-14.055024,-11.110519,-3.2222571,-12.470352,-4.966413,-8.5018425,-6.7314663,-7.8449097,1.0559677,-10.942958,-3.2470315,-6.604731,-4.0827394,surati
31,carnatic/Dr S Sundar at Arkay by S Sundar/Devadi Devanukku Jaya Mangalam/Devadi Devanukku Jaya Mangalam.mp3.mp3-3,0.17096867,0.28705874,1657.740199936079,1798.1504545717535,3123.19778111697,0.07607096858068886,-112.15784,116.38349,-40.92716,21.980284,-3.9287226,-4.524521,-10.701934,-16.081963,-14.117484,-1.454519,-10.784883,-2.8955448,-7.895513,-6.498667,-7.374579,2.3779867,-11.070217,-3.828017,-5.8073983,-3.577344,surati
32,carnatic/Dr S Sundar at Arkay by S Sundar/Devadi Devanukku Jaya Mangalam/Devadi Devanukku Jaya Mangalam.mp3.mp3-4,0.16791853,0.31695342,1513.9962648250582,1752.8948275001069,2947.0821793972523,0.067025293875774,-117.04167,127.13432,-32.30937,31.35237,1.0286547,1.2870798,-9.036223,-14.0216055,-13.731308,-1.6650753,-9.72859,-1.2522764,-3.959217,-3.4765973,-7.1982536,3.3459222,-8.77694,-2.178306,-5.515979,-2.8975425,surati
33,carnatic/Dr S Sundar at Arkay by S Sundar/Devadi Devanukku Jaya Mangalam/Devadi Devanukku Jaya Mangalam.mp3.mp3-5,0.085380934,0.4253311,1811.4931684527667,1983.589062326475,3567.754144435976,0.07491901676829268,-212.1653,107.08364,-27.176779,15.937104,5.6734357,13.767334,-12.278896,-7.780493,-9.101006,-4.8782983,-9.332062,-5.237848,-7.5814896,-4.2530217,-3.7538562,-0.6121468,-1.1789092,-2.5559988,-2.357724,0.93955106,surati
34,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-1,0.080791414,0.22859561,1738.3631584372076,1979.1767382193104,3317.929936931598,0.0604077979876161,-251.12529,93.166794,-16.635244,31.004057,0.5594252,-12.910306,-5.951461,-3.6588006,-16.937147,11.558443,-8.881898,-3.5068057,-9.238402,-4.5369763,-11.498619,-2.7366097,-5.983286,-3.7998614,-3.4436765,0.916956,surati
35,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-2,0.10712239,0.26878938,1744.9664422092528,1972.2748873802623,3365.587982083253,0.06772861539763932,-194.58015,102.84634,-17.167183,33.318535,-0.7106838,-7.8702335,-2.264269,2.4727538,-17.050993,16.268566,-9.716505,-3.7468784,-6.550689,-3.9513502,-8.8141985,-0.9188615,-9.272127,-4.5186467,-5.4204216,-2.654973,surati
36,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-3,0.11295845,0.26630324,1568.2345847969596,1931.0422382254553,3112.656178193934,0.05635037732198142,-214.61238,106.732414,-9.674342,30.307968,0.31167176,-4.421082,-1.3769374,-2.2333722,-15.741384,9.943013,-9.009362,-3.5829837,-7.620465,-3.1536746,-8.527395,-1.8839225,-10.753294,-6.57886,-1.1192671,-0.0048721363,surati
37,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-4,0.14785343,0.26206577,1811.0155530348825,2022.6590954148865,3458.904084480215,0.0761235003869969,-152.6012,100.75423,-17.964592,26.620604,-3.7986395,-6.0416746,-6.9254856,4.9886007,-14.853479,15.917406,-12.761444,-2.309709,-9.992471,-4.8756566,-10.115613,-2.2245498,-4.4233575,0.65973777,0.009220324,2.0057218,surati
38,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-5,0.14382906,0.2621847,1870.3993494082706,2106.3989812652744,3639.99465611697,0.07380378652283281,-159.69626,98.669334,-14.655183,26.432844,-3.0963354,-8.859588,-6.742954,1.8841022,-19.668388,14.0533695,-17.502642,-1.7248105,-10.872477,-4.7463155,-8.819436,0.23956653,-5.409439,-0.06791465,-1.6390455,2.4714375,surati
39,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-6,0.116920635,0.26971143,1551.457527721821,1948.8115554376907,3048.139901648365,0.05006129970491486,-210.60287,107.116196,-10.127716,36.22978,6.8890233,-10.164621,-6.280542,-0.16930671,-15.365542,7.1558237,-13.28999,-2.6271224,-8.173255,-4.086124,-8.438021,-2.4814923,-9.704954,-4.627384,-6.545377,-3.321316,surati
40,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-7,0.1333954,0.2549156,1783.074430133802,2093.0797529646634,3550.5535302885546,0.06380724833107586,-168.90497,100.081245,-14.792873,27.74934,0.993124,-8.374218,-6.220642,3.4506512,-18.985064,12.153603,-16.377604,-4.409744,-10.1834,-5.881547,-10.458341,-3.3492625,-9.83696,-4.685537,-7.218616,-5.1137013,surati
41,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-8,0.14346556,0.23904438,1815.4183453235821,2055.7325043502155,3481.4622814072177,0.06724600304760062,-162.55716,96.01686,-19.089767,30.519083,0.7763764,-11.010018,-7.589791,4.891118,-19.106024,12.452143,-13.331089,-3.4970534,-9.569486,-6.93142,-10.794483,-4.102548,-8.834529,-3.09789,-3.7229798,0.22907358,surati
42,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-9,0.093778126,0.26303124,1493.2502839415122,1877.1948303984072,2853.591078058485,0.051412765455688854,-239.38823,110.169044,-6.322806,33.33312,6.5300994,-3.3121462,-1.812845,0.39066854,-12.132865,8.220447,-7.1989684,-3.352495,-7.2762203,-2.1877007,-6.637563,-2.6231902,-10.565578,-7.002894,-6.2874374,-5.129891,surati
43,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-10,0.11413625,0.28264832,1544.2832788154108,1941.070117901354,3056.0398538784348,0.0549089650251548,-200.63412,114.16859,-7.618471,32.42086,5.4559855,-6.504087,-3.7510839,0.7617077,-14.546553,9.05663,-12.119551,-5.8598247,-7.0383596,-1.8571271,-4.541188,1.1729848,-8.259316,-3.871921,-9.481032,-10.616852,surati
44,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-11,0.14787768,0.2542527,1855.308406527308,2091.7185756823287,3627.1197339698624,0.07154038373161764,-160.162,95.9104,-13.5033655,35.53304,2.7050412,-9.0592985,-4.401501,4.7862377,-18.42449,11.114356,-15.358199,1.1711866,-8.846848,-5.732408,-9.6077585,-2.3214262,-10.137157,-3.267108,-4.3592443,0.20944989,surati
45,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-12,0.134029,0.24600661,1909.8561074625566,2108.7928800665686,3667.694488619872,0.07262163191756967,-173.30188,90.95316,-15.178403,31.521961,0.8712965,-14.007903,-13.582315,3.8559356,-18.89127,7.4986234,-13.153036,-0.9432124,-10.077774,-7.517014,-10.518447,-2.7000518,-7.1393228,-2.7607398,-5.4019217,1.203574,surati
46,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-13,0.090253845,0.26589856,1417.2491704171196,1803.882418196866,2797.94974784733,0.054642526726973686,-245.72661,112.74879,-6.378333,25.559668,4.03778,-3.7620952,-0.65876603,-4.4977303,-10.993104,8.483277,-3.575034,-5.240402,-4.975963,-3.4000633,-5.053389,-2.8492358,-9.604844,-8.1098795,-1.8029407,0.08506846,surati
47,carnatic/Mahati at Arkay by Mahati/Kannallavo Swami/Kannallavo Swami.mp3.mp3-14,0.005041567,0.40820405,2505.599671481586,2297.0060001464585,4956.084846047794,0.1615093954248366,-376.8571,83.65419,-32.41966,18.79402,-12.424822,3.6506467,-7.791428,-0.33033973,-5.468673,9.775594,5.783047,5.588522,-0.90198404,6.1333046,-8.192533,3.6000347,-0.24359539,-0.8709252,-0.5532318,2.9185207,surati
48,carnatic/Sumitra Vasudev at Arkay by Sumithra Vasudev/Mangalam Kosalendraya/Mangalam Kosalendraya.mp3.mp3-1,0.056213614,0.20947215,1678.5193584818564,1815.4864751468965,3272.9302090387964,0.06739868541989164,-275.52142,99.84229,-39.774887,30.19291,-9.55236,-18.64991,-17.988916,-22.59418,-18.521666,-10.970631,-13.511961,-8.532875,-10.661471,-4.675288,-7.3225074,0.4400353,-7.166141,6.981581,-3.4004047,-2.87204,surati
49,carnatic/Sumitra Vasudev at Arkay by Sumithra Vasudev/Mangalam Kosalendraya/Mangalam Kosalendraya.mp3.mp3-2,0.013510983,0.45567825,2707.1844079296798,2347.171523527333,5207.958984375,0.13674200148809523,-259.12396,73.150635,-44.85135,-1.2588619,-22.491531,1.2608881,-15.54581,-8.445856,-10.085968,-5.001364,-0.74976474,3.9967396,-0.68179566,7.4881234,-0.16141614,11.355358,7.6909666,15.27112,2.9143245,5.728376,surati
50,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-1,0.04025207,0.26347983,1931.020916298235,2160.795224465043,4050.2421754063466,0.07100675128192724,-274.80463,96.068665,-12.373677,8.805464,-18.77925,-0.6411314,-26.880762,-9.243327,-11.371029,-8.064149,-4.2970057,0.035315357,-15.347837,-4.922336,-5.9637604,-6.8508844,-9.280499,4.166036,-7.1221256,-5.695881,shuddha saveri
51,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-2,0.052715372,0.2759361,1899.6594279638427,2136.922542588387,4060.4921134263736,0.06942626197271672,-229.4286,104.36218,-11.347616,10.554266,-20.56894,5.4835415,-28.185812,-9.235193,-6.4354,-6.682435,-4.148226,2.703948,-14.423175,-2.6134593,-5.9131656,-9.171975,-9.403293,4.0685735,-8.842841,-3.309892,shuddha saveri
52,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-3,0.05119335,0.27338848,1865.2992627424576,2131.2016405740387,4012.1174059416117,0.07304528770801083,-240.21744,106.42318,-6.097227,0.9623536,-25.225203,8.70746,-22.703297,-14.320657,-7.3505597,-0.89950305,-6.582255,-3.3027933,-11.414414,-4.135457,-3.7445714,-6.6793275,-9.845874,5.927971,-6.0454006,-4.865455,shuddha saveri
53,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-4,0.049762372,0.27586618,1753.0353206930401,2080.4888331964576,3679.711082623839,0.06158844088622291,-248.63791,109.58782,-7.357488,6.805191,-20.540297,2.8229225,-23.886818,-7.2630024,-11.223071,-8.235982,-7.6483803,-0.30950758,-14.230472,-5.8853674,-3.8474393,-6.049754,-8.965817,1.7159061,-8.385231,-6.467696,shuddha saveri
54,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-5,0.047803715,0.26717398,1665.726232815306,2034.717740997265,3380.6628909273413,0.05845542884094427,-260.78918,116.87738,-3.0339963,10.498996,-14.842634,3.4294913,-22.345362,-6.6880064,-14.865951,-12.314572,-9.71892,-1.3319005,-10.784337,-4.9457855,-4.8086095,-3.4592414,-5.8572297,-0.26553497,-3.8467307,-5.79852,shuddha saveri
55,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-6,0.05710072,0.301199,1787.4538910934643,2102.818731325552,3805.8019868360584,0.06581517269736842,-229.97131,112.33278,-3.6229682,3.7129269,-22.291418,6.9894967,-23.622286,-11.6674595,-7.047096,-7.721752,-7.6252084,2.5412478,-14.767067,-4.6200924,-4.6724124,-8.257922,-8.186497,4.134794,-8.532035,-3.9483118,shuddha saveri
56,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-7,0.040921357,0.28724957,1728.3357302916559,2031.3066956618989,3586.078315475039,0.06703436411571208,-273.25986,114.008675,-6.2690506,7.320271,-19.360693,6.1245832,-18.404747,-10.911123,-9.139201,-8.021034,-5.453912,0.08597874,-11.068176,-4.463759,-6.008347,-5.7859516,-6.8105626,3.3239741,-6.857877,-2.6449254,shuddha saveri
57,carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Samajavarada/Samajavarada.mp3.mp3-8,0.04156932,0.29170802,1923.4330407296352,2132.3510137935186,3999.142484399187,0.0776397421633127,-262.40375,104.928734,-11.215993,5.15676,-19.875986,6.4945383,-15.878508,-10.76133,-11.444545,-8.300223,-7.1340346,0.94681096,-9.936547,-2.6443052,-6.5450845,-1.8651175,-3.3876839,4.4284325,-6.1908793,-1.0256662,shuddha saveri
