,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,raga
10,0.09781279,0.30349532,1530.5900069979814,1710.9939594310192,2972.780322469927,0.07054785564853557,-185.77089,130.4734,-32.262363,24.033924,-4.117438,-3.3955326,-11.160676,-6.233644,-23.639288,-10.940062,-13.476853,-1.5813019,-1.9028453,purna chandrika
11,0.09781279,0.30349532,1530.5900069979814,1710.9939594310192,2972.780322469927,0.07054785564853557,-185.77089,130.4734,-32.262363,24.033924,-4.117438,-3.3955326,-11.160676,-6.233644,-23.639288,-10.940062,-13.476853,-1.5813019,-1.9028453,purna chandrika
12,0.15113083,0.32979816,1521.2524355252242,1744.0076108034546,2971.527972999477,0.06712008041317992,-126.097984,133.01674,-30.074543,24.104185,-3.4875867,-3.6716058,-10.622183,-8.526435,-25.101994,-3.5689666,-11.382173,1.3884703,-1.7679716,purna chandrika
13,0.12105756,0.28850025,1397.3581641365804,1678.406601251882,2734.0230493266213,0.057624542364016734,-175.143,133.16353,-27.349016,29.683979,-0.9822582,0.39579916,-9.07268,-3.566792,-22.777098,-6.7353015,-10.445296,0.16119352,-1.7403998,purna chandrika
14,0.15503022,0.31769335,1479.4921330716118,1754.3471739230538,2876.709801582113,0.06126520005230125,-131.03783,130.44978,-24.577381,30.262617,-0.41461575,-1.2671596,-7.1230516,-2.1237905,-24.641733,-1.527857,-8.731296,-1.6008528,-1.9206126,purna chandrika
15,0.16297735,0.34195507,1495.89348207505,1711.0920058127556,2884.4040925732215,0.06500228817991632,-121.32426,134.32137,-31.969887,26.338886,-2.6442785,-3.3794153,-12.990893,-5.194975,-23.71505,-2.5518188,-13.205658,-0.47938484,-3.357763,purna chandrika
16,0.15163645,0.332749,1587.7747851081926,1770.0451467889513,3078.88765853818,0.07069127549686192,-121.62938,129.11472,-31.19887,25.004416,-5.6403522,-3.497161,-12.92528,-6.300819,-24.83494,-3.3637362,-13.717132,2.3629131,-0.9022643,purna chandrika
17,0.13660689,0.30662525,1460.358510076798,1669.8550489233962,2814.677959106956,0.06600254968619247,-144.49811,135.01718,-34.60168,23.274183,-4.167426,-1.4629166,-11.282853,-8.404287,-26.28661,-3.6236484,-9.673991,0.31604984,-0.9953123,purna chandrika
18,0.17147058,0.3241102,1489.2161340097825,1697.5608935959287,2906.9734121665797,0.0639930373953975,-111.113884,133.61433,-32.85615,28.838356,-4.6331925,-2.3113713,-10.236727,-3.5657902,-24.00088,-1.4074392,-10.016915,-0.29468924,-2.2945583,purna chandrika
19,0.16424574,0.3469049,1515.813687209128,1737.1568116482838,2919.8032369573743,0.06502966461820084,-112.722855,133.6865,-30.75574,25.272137,-2.6841056,-2.4589381,-12.187562,-5.8610864,-22.807924,-2.464474,-13.221717,1.1943432,-2.009507,purna chandrika
20,0.02196009,0.21132588,1536.9403896657159,1947.447338760081,3103.7478987277477,0.04873477711397059,-403.86087,96.518166,-12.19348,14.110409,-4.1230264,1.6122395,-26.044416,-12.903254,-12.590837,-11.147145,-6.222422,-6.62344,-12.940404,surati
21,0.04781211,0.24210106,1743.9477453537029,2017.8521683581366,3595.078261053599,0.06421049608165634,-276.9183,103.39777,-8.692041,8.910774,-21.976223,7.3073745,-19.71224,-11.667491,-9.68085,-7.40002,-6.51291,-4.472945,-13.75999,surati
22,0.04754827,0.24753633,1745.2486623160285,2028.5414578846721,3639.0029954467395,0.06463717528541021,-268.1153,105.78563,-6.9979696,9.337331,-25.36093,8.532726,-17.280558,-11.507887,-10.340358,-6.4386754,-5.1645365,-4.000712,-13.426897,surati
23,0.035647813,0.253673,1793.685395032877,2028.8535842497065,3629.4863863257065,0.06568176458494582,-307.8212,97.92895,-1.3567265,18.840816,-6.8825526,6.2100163,-17.92235,-9.613808,-6.715176,-11.199111,-7.800429,-4.286724,-11.096472,surati
24,0.04642205,0.24827082,2062.500653964703,2192.7004850593507,4321.657200863487,0.07982378035506967,-267.9589,88.379265,-8.688761,12.111075,-22.513216,10.295341,-18.971735,-10.837338,-8.400859,-7.0922246,-8.861693,-2.1336777,-10.870727,surati
25,0.041535247,0.2659897,1675.0676313762187,2019.517965263658,3567.3700952677536,0.061149668029218264,-281.73303,111.75145,-4.8505864,12.46654,-17.997986,9.332664,-20.982748,-9.797227,-8.9792595,-9.883125,-6.90443,-2.5575027,-12.613606,surati
26,0.030608617,0.24828658,1485.4331234826088,1903.3826520368018,2974.257015074739,0.04986628954624613,-350.10205,106.32123,-1.3002468,19.683306,-3.4011185,4.5740285,-21.131433,-10.970403,-16.400074,-12.787658,-5.0898175,-7.406885,-15.28412,surati
27,0.04081204,0.26091376,1831.8085837242263,2092.3091641218416,3807.9103074206655,0.0641352886755031,-275.05316,101.03315,-8.804494,17.681229,-11.64187,5.9967875,-25.154324,-12.13952,-8.299738,-12.156575,-10.327085,-0.24382392,-13.17062,surati
28,0.04330035,0.2737114,1779.1946684314942,2073.153803137736,3722.469157404944,0.06832914086687307,-269.5729,110.3609,-2.6769097,7.7445784,-24.080547,8.293175,-18.600168,-9.016013,-9.3263235,-8.7120495,-5.919267,-0.70297664,-11.736879,surati
29,0.044837378,0.2684445,1873.146989070416,2100.1515065123294,3986.109229876161,0.07231513339299536,-261.68915,105.029495,-7.9015923,7.81099,-25.199957,9.986511,-17.9579,-11.424423,-6.7934775,-7.8598375,-6.7769365,-0.71711653,-12.465178,surati
30,0.091835566,0.27047178,1533.148038704526,1686.7858960225703,2994.305325048575,0.06757761900906736,-217.67995,118.696976,-35.284996,33.292187,-2.6670313,-12.130972,-13.000115,-16.948732,-15.240487,-6.8180923,-12.010302,-9.245549,-6.711985,surati
31,0.091835566,0.27047178,1533.148038704526,1686.7858960225703,2994.305325048575,0.06757761900906736,-217.67995,118.696976,-35.284996,33.292187,-2.6670313,-12.130972,-13.000115,-16.948732,-15.240487,-6.8180923,-12.010302,-9.245549,-6.711985,surati
32,0.15220004,0.30387363,1718.9563526176744,1840.87137628658,3349.268463609132,0.075969478626943,-119.77293,113.0099,-38.58404,29.007833,-4.206877,-2.9112234,-12.949294,-17.912521,-14.223716,-2.9441035,-12.914378,-4.49795,-7.658868,surati
33,0.12842861,0.26289013,1679.861219581909,1771.813510643955,3324.685653133096,0.07225466186312608,-149.66272,113.146065,-42.041283,39.642292,-4.378772,-1.7065816,-12.107076,-17.411957,-12.404174,-5.654319,-14.739907,-5.2584596,-9.306875,surati
34,0.14178333,0.30262053,1565.413514385934,1836.893001994972,3038.524631638601,0.06023906384930915,-142.36826,119.62872,-32.164482,33.142452,7.6480713,-1.8432373,-11.189792,-11.082372,-9.462979,-1.6784682,-12.3331785,-6.2125864,-9.191523,surati
35,0.16741334,0.29320267,1567.3181236753885,1778.2881085026822,3086.369995749676,0.06856598796416234,-119.07459,121.23332,-34.10333,32.57737,0.98276603,-0.2192464,-9.692618,-14.91016,-14.346059,-1.6959546,-10.317715,-2.189604,-4.9563584,surati
36,0.16668595,0.28620833,1657.5445397087672,1777.929645120602,3142.787731743847,0.07468932156735751,-115.97096,116.59022,-42.020576,25.552467,-4.1752014,-4.2046995,-13.091412,-16.9671,-14.410347,-3.423718,-11.698985,-3.6216002,-8.032071,surati
37,0.1746492,0.30025315,1659.7831245952766,1780.6954596587007,3024.262138722474,0.08212401500431779,-103.72789,118.36234,-43.12908,13.766644,-7.0027313,-4.6194324,-8.567879,-14.475494,-11.70807,0.8078742,-9.211647,-1.7374792,-8.769909,surati
38,0.18618028,0.3068662,1616.1717284510344,1806.8050522207996,3130.4777313390546,0.07261054215241797,-100.74556,121.01572,-34.772667,30.284046,0.844607,-0.9315826,-9.986652,-13.802026,-14.405831,-0.18250339,-9.189752,-0.67746365,-5.2672586,surati
39,0.14704579,0.3331042,1367.4449477019905,1698.2146112109147,2739.6259209034974,0.05628052811960276,-141.56969,134.83266,-26.688457,36.969856,3.791945,4.7202096,-6.7441745,-13.883671,-13.984399,-2.3685207,-9.122512,-1.6774883,-2.1091096,surati
40,0.08079142,0.22859561,1738.3640741151942,1979.1786839234233,3317.929936931598,0.0604077979876161,-251.1252,93.16666,-16.635107,31.003906,0.5595786,-12.910456,-5.951329,-3.65892,-16.937037,11.558316,-8.881786,-3.5069134,-9.238289,surati
41,0.107122436,0.26878944,1744.9520974069944,1972.2292738846713,3365.5629822344235,0.06772861539763932,-194.58205,102.84898,-17.16983,33.320423,-0.71195215,-7.8690376,-2.2658231,2.4744582,-17.05263,16.269476,-9.717332,-3.7461836,-6.5510426,surati
42,0.112958275,0.26630327,1567.9756862482748,1930.6336441117558,3111.8645163143383,0.05635037732198142,-214.6217,106.74422,-9.68396,30.31545,0.30598474,-4.4159946,-1.3811041,-2.2297056,-15.745401,9.946773,-9.013165,-3.5793042,-7.623521,surati
43,0.14785334,0.26206568,1810.881204029887,2022.4292913681825,3458.6707525578076,0.0761235003869969,-152.60764,100.76255,-17.972351,26.628109,-3.8049142,-6.0366898,-6.9312983,4.993815,-14.859088,15.922562,-12.766527,-2.3051627,-9.996765,surati
44,0.14330529,0.25940984,1905.4047548853434,2122.8725963221345,3709.6359016725523,0.07652523643092106,-157.87111,97.06993,-15.431821,25.253918,-3.8304217,-9.059458,-6.7885017,1.901177,-20.059277,14.273563,-17.933397,-1.8045642,-10.774192,surati
45,0.1253124,0.26329792,1619.4897503047223,2020.099077213096,3223.0388440583883,0.051133099724264705,-197.03113,103.00804,-8.779623,41.289146,9.124958,-11.3917465,-5.555206,1.6266385,-17.241724,8.916719,-15.001046,-0.368726,-7.869378,surati
46,0.15074454,0.2396204,1800.9817701389863,2065.1314895889013,3518.645389899381,0.06649846410603716,-156.91486,98.447205,-18.928282,26.641962,-1.5156215,-9.07226,-7.2524037,3.4286547,-19.821308,12.033327,-15.388814,-4.62604,-11.437337,surati
47,0.095756315,0.2680327,1497.0764226643623,1879.2448329590359,2862.9076883888833,0.05191011694562694,-234.14719,110.50496,-6.702829,31.816505,5.9885244,-2.679496,-2.0543194,0.6962657,-12.800239,8.652118,-7.0857673,-3.4591303,-6.8176565,surati
48,0.15175468,0.25214338,1865.8061990131405,2100.5110292373197,3641.427980783185,0.07184688225619196,-157.67603,95.46958,-13.132417,35.988083,3.2950864,-10.425489,-6.018758,5.213404,-19.408031,9.227371,-14.561868,2.4013,-8.855883,surati
49,0.13153608,0.2458984,1860.0790019581827,2080.313965848433,3578.236696225571,0.06989867030282508,-179.05757,92.98833,-13.611385,32.445747,1.1916232,-13.597806,-12.693441,3.4936182,-17.514078,9.002086,-12.169614,-1.5950062,-9.955396,surati
50,0.053968698,0.2046414,1760.8232538336856,1907.1395425904802,3361.626642400568,0.07760342684659091,-270.32925,98.28034,-37.70375,14.450137,-6.4449754,-11.160175,-18.42436,-23.199156,-21.120047,-4.68755,-14.210272,-5.82272,-9.811476,surati
51,0.053968698,0.2046414,1760.8232538336856,1907.1395425904802,3361.626642400568,0.07760342684659091,-270.32925,98.28034,-37.70375,14.450137,-6.4449754,-11.160175,-18.42436,-23.199156,-21.120047,-4.68755,-14.210272,-5.82272,-9.811476,surati
52,0.06989361,0.19347744,1725.1923217977899,1877.5874691510617,3291.9699928977275,0.059636896306818184,-262.84906,87.52259,-31.849586,40.264286,-8.362415,-26.008297,-23.395676,-15.749736,-20.389874,-14.606027,-16.692484,-12.281748,-11.873416,surati
53,0.075230874,0.22271787,1854.37495933524,1738.4650967600694,3354.938299005682,0.09840716737689394,-219.71487,88.11007,-59.731373,30.708605,-14.426541,-25.587801,-22.8216,-20.9543,-14.865229,-8.157223,-19.637281,-15.221571,-7.006793,surati
54,0.04567425,0.2707683,1993.8015262413232,1870.207219401505,3770.349675958807,0.09657611268939394,-262.31042,90.21868,-46.264664,36.30365,-12.706058,-19.834362,-24.33031,-20.828207,-14.522185,-15.047539,-16.498823,0.18332568,-6.6482773,surati
55,0.06581067,0.21094051,1606.9812329018343,1839.0849512124996,3205.6740500710225,0.05312647964015151,-259.08746,103.0348,-34.59716,32.674908,-10.894842,-18.03294,-20.425037,-22.65639,-17.812283,-14.781359,-14.051965,-10.0744705,-13.037708,surati
56,0.0656966,0.19967955,1787.7470712017,1974.5710436461973,3550.6946910511365,0.06563683712121213,-246.8527,87.450676,-40.026955,19.81596,-16.66333,-19.62189,-12.681066,-31.436916,-20.81904,-6.296924,-14.502884,-6.652217,-12.748886,surati
57,0.05444079,0.19694218,1533.906128161597,1709.964959289112,3132.6732288707385,0.05460242069128788,-286.42117,110.48478,-42.520817,37.46454,-10.280974,-21.834133,-14.458565,-21.779047,-21.060482,-10.989049,-13.6802845,-5.9338984,-11.4869995,surati
58,0.0518623,0.20235574,1640.1815858725647,1797.1137908175265,3262.6880992542615,0.06394634824810606,-260.1798,109.91099,-44.719612,28.271296,-11.41045,-13.59293,-14.421154,-25.560291,-20.905758,-11.992328,-7.8683453,-3.9748595,-15.07794,surati
59,0.051275916,0.17247108,1182.7798264661224,1571.8189826247738,2355.194091796875,0.033976236979166664,-329.01544,124.9963,-30.685175,35.78372,-6.155377,-15.504427,-17.074944,-24.176144,-16.851503,-10.980332,-12.699096,-13.460046,-12.968945,surati
60,0.038441148,0.2575563,1929.193877610527,2157.4106983405286,4043.125198418176,0.0708063887201855,-283.82538,94.68085,-12.836512,8.587525,-18.628208,-0.55379206,-25.686731,-9.727072,-12.028444,-8.091048,-4.088751,-0.48616183,-15.714473,shuddha saveri
61,0.038441148,0.2575563,1929.193877610527,2157.4106983405286,4043.125198418176,0.0708063887201855,-283.82538,94.68085,-12.836512,8.587525,-18.628208,-0.55379206,-25.686731,-9.727072,-12.028444,-8.091048,-4.088751,-0.48616183,-15.714473,shuddha saveri
62,0.05525812,0.2936937,1943.3312648744861,2172.033528799928,4184.175287792624,0.07145685526170495,-217.62833,105.18797,-9.311769,10.579745,-20.767012,5.095266,-30.148285,-7.638715,-5.37429,-8.671037,-6.113739,5.3398566,-14.164466,shuddha saveri
63,0.042394146,0.25362536,1829.7816140671464,2106.2209651520684,3883.4523123481667,0.06984621728688163,-264.73972,104.7743,-7.3114667,7.40378,-20.746984,7.921799,-22.149445,-14.638836,-9.625088,-1.9186012,-3.6686132,-5.3107033,-11.841155,shuddha saveri
64,0.0578348,0.28812766,1822.9500552886293,2110.222837214913,3888.1603227487303,0.06883169652716431,-222.76924,108.96596,-9.973963,-0.20681493,-25.87796,5.8013387,-25.315605,-9.653813,-6.947951,-1.0996721,-6.7805514,0.09495752,-13.18616,shuddha saveri
65,0.049275804,0.2679394,1702.732648402615,2067.864353126425,3547.890059939543,0.05719447051678445,-256.4315,112.447,-3.588407,9.2672615,-18.396767,2.24977,-22.27007,-5.4907856,-14.89245,-13.248944,-9.341023,-1.2633222,-13.374919,shuddha saveri
66,0.04752924,0.2708012,1717.9695550902836,2033.8412776671667,3486.6003245431207,0.06316470088891343,-254.51027,114.767136,-6.493359,10.047178,-16.729485,2.774879,-24.09059,-9.8660145,-12.475062,-10.978902,-9.900714,-0.65089774,-11.282128,shuddha saveri
67,0.061002955,0.29822126,1810.180051548226,2127.9710146265525,3905.3564496259387,0.06538310236307421,-223.98843,110.78949,-2.2511568,2.7112799,-22.381756,8.717149,-23.593754,-10.366972,-5.761599,-7.712675,-7.5039268,3.3106046,-15.099197,shuddha saveri
68,0.036762446,0.2902178,1682.235237870429,2001.2944804214071,3447.129126235369,0.06633594095075088,-284.54346,117.86451,-6.7266297,8.311643,-19.077526,6.356524,-16.983847,-11.528384,-10.224795,-7.1731124,-4.891292,-0.23649234,-10.929799,shuddha saveri
69,0.043590866,0.28934443,1927.5341721239793,2136.7033297914363,4037.713364240559,0.07691982525397527,-257.9616,104.6324,-11.083481,5.5364556,-20.107805,6.6281295,-17.400707,-11.029118,-11.347675,-8.446787,-6.997247,1.0937973,-10.650308,shuddha saveri
70,0.022537634,0.2321971,1455.7566676212623,1814.2541114718583,2801.94139037708,0.053596425720781736,-383.24323,110.829834,-21.650757,12.916385,-5.662405,-0.988471,-29.29279,-16.952013,-8.302106,-6.331473,-3.6605494,-2.5360587,-13.33028,mohanam
71,0.01806845,0.24262173,1446.3832438813388,1802.9627350346552,2790.066462183146,0.052302782749613,-388.881,116.88787,-24.382372,20.986996,-2.0296993,1.8230162,-25.065763,-17.543598,-5.1961184,-8.972684,-7.5331836,-4.7214937,-8.696532,mohanam
72,0.019095838,0.2712437,1437.3108887413666,1765.9724474290924,2746.3167267318113,0.05510397518382353,-375.58743,124.37394,-24.65544,13.129387,-10.207796,2.5321631,-30.176592,-18.702372,-1.2543424,-6.5015693,-3.338744,-0.8275148,-12.573765,mohanam
73,0.02487727,0.2410215,1662.996871100859,1888.497238651481,3364.579654847136,0.06469008501838236,-354.06802,96.10102,-29.342396,11.81149,-17.596783,1.1004496,-26.834135,-21.573082,-8.22647,-7.1117377,-6.622216,-4.1377144,-12.893979,mohanam
74,0.008792809,0.20967774,1477.394381595207,1707.7220904483531,2777.116540489551,0.06051134989357585,-468.31442,111.29042,-33.78866,8.457021,-9.570435,-4.6267304,-8.041685,-20.384912,-12.895782,-10.090079,-21.143826,-15.861344,-3.124998,mohanam
75,0.012751969,0.17208034,2342.348756376853,2160.6880981572654,4498.122800466815,0.11733564725232198,-418.9785,60.30816,-22.932974,5.241587,-27.338129,-2.353721,-9.795802,-16.789698,-22.192963,-13.572483,-9.408957,5.8425593,6.3569,mohanam
76,0.036222678,0.21933338,2025.1664423127888,2195.2327297477323,4361.048629335574,0.07639107246517028,-311.45227,85.30427,-0.78867275,15.362274,-25.209293,10.529287,-25.146515,-16.572714,-8.273073,-9.002904,-10.504367,-3.2286925,-10.168825,mohanam
77,0.039400686,0.24249913,2055.9222517177295,2160.429851636161,4282.490771030863,0.0840837697126548,-282.51953,89.277695,-6.1612,13.45876,-24.906761,11.096543,-20.17072,-10.721331,-9.525538,-5.998059,-7.4652195,-4.855945,-8.064476,mohanam
78,0.019047467,0.4127525,1706.6685712613203,2050.8857199125705,3456.304100201964,0.060101677389705885,-367.40207,119.53627,6.2383957,3.0350769,-9.891637,11.063352,-9.393689,-2.7028446,-7.7305965,-2.0898314,-3.9672928,-2.6397145,-6.8729033,mohanam
79,0.04356028,0.29444388,1935.4783089109462,2133.650890922516,4054.1671516725523,0.07091340339589783,-284.2741,98.26736,-1.9142004,6.3856053,-26.616505,11.355688,-18.387218,-7.243247,-8.87173,-4.4044127,-8.357892,-4.7713933,-9.49956,mohanam
80,0.026647482,0.26197103,2110.5573301637382,2119.6017698560286,4293.569466581313,0.08952530570652174,-333.85345,85.55021,-32.672863,33.82432,-3.6266568,6.8683496,-6.558611,-5.4907064,-25.85098,-10.8175,-23.129139,-9.722221,-5.7428246,mohanam
81,0.026647482,0.26197103,2110.5573301637382,2119.6017698560286,4293.569466581313,0.08952530570652174,-333.85345,85.55021,-32.672863,33.82432,-3.6266568,6.8683496,-6.558611,-5.4907064,-25.85098,-10.8175,-23.129139,-9.722221,-5.7428246,mohanam
82,0.025423555,0.24832067,2052.7004775168866,2077.5717040447407,4284.783343567099,0.08959879285117058,-341.84296,89.574745,-33.250145,26.236582,-9.629589,5.1722775,-13.777022,-4.173245,-22.886782,-11.488539,-18.911089,-6.815576,-0.5953566,mohanam
83,0.042765684,0.2344066,1791.750288293787,1930.6603640718129,3689.163422345318,0.07507283392558528,-297.9325,95.24053,-34.31822,35.944458,-8.199897,-2.845201,-10.659916,-1.7451375,-29.924845,-12.909712,-21.513958,-1.3475708,-4.3166323,mohanam
84,0.032198682,0.18310218,1923.1138235314245,2080.822063058043,3928.1891787729933,0.0712139423076923,-332.12433,83.28671,-26.795406,29.7947,-11.647098,7.11263,-13.235519,-3.9332557,-26.337019,-23.204464,-28.576122,-6.864285,-0.6842347,mohanam
85,0.0351733,0.17811793,2213.7487334429043,2146.5215976513045,4553.804347826087,0.09312780884197325,-312.2988,68.803764,-30.514208,37.93199,-11.666823,6.7560396,-15.203451,-2.612707,-22.556608,-17.662762,-33.793232,-18.713858,-6.4517536,mohanam
86,0.05004182,0.2164093,1980.4669322983384,2060.3861324152494,3939.3158673442726,0.07725131950250837,-278.47055,75.085,-34.774845,43.055695,-9.049383,4.0923567,-3.2206922,-0.8770452,-31.53744,-17.47982,-33.682644,-13.631625,-8.131112,mohanam
87,0.040085822,0.22177245,2038.2771932778076,2082.789078024565,4117.594945390886,0.0764005016722408,-293.3057,82.14679,-31.152147,40.942463,-9.070246,0.67797256,-11.131652,0.41502652,-23.559437,-13.608937,-28.508106,-9.76688,-8.310426,mohanam
88,0.04187985,0.24079666,1942.9145018590314,2053.5257149936774,3901.0386183110368,0.07189655622909699,-281.1674,92.48375,-30.636425,38.482925,1.1615374,-1.8619736,-13.490159,-11.565274,-21.18555,-9.123153,-28.546183,-7.9217606,-0.9645069,mohanam
89,0.04296053,0.25046986,1714.9248642474895,1909.6941731722184,3433.033533000627,0.06351738869147157,-271.3499,110.71906,-31.766024,39.472736,9.973805,-2.745967,-16.126143,-13.125826,-16.536299,-11.50396,-27.425524,-6.8114,1.0817631,mohanam
90,0.050082516,0.21854597,1714.5329147309747,1928.539031813723,3227.955480994824,0.07037977094620743,-278.06036,99.16295,-36.28974,25.485325,-0.56001145,-21.05434,-17.667004,-20.633877,-14.047005,-6.760635,-11.574183,-10.103184,-10.767855,mohanam
91,0.06253771,0.22463252,1719.0321811033239,1863.7306985840776,3341.0297972499034,0.07594927619485294,-256.68716,96.04538,-42.762444,28.746838,-9.706989,-16.13735,-14.124537,-22.164873,-14.303741,-3.9590812,-11.643029,-9.303164,-10.156873,mohanam
92,0.054004647,0.22727202,1832.3251387869627,1849.0593835697669,3429.1875975050793,0.08985659950657894,-260.13168,92.31605,-45.30943,31.537493,-7.8738875,-16.213463,-19.197525,-20.716196,-11.970233,-6.413999,-14.396427,-12.058672,-10.411866,mohanam
93,0.07113871,0.2354072,1941.963763828424,1905.1785593354937,3526.4536760170763,0.09706706233068886,-232.09631,80.59037,-46.12437,28.298296,-10.052779,-24.416273,-22.58737,-20.587772,-16.64245,-5.3000503,-14.923219,-13.720334,-8.720114,mohanam
94,0.041054577,0.2018076,2416.262270339725,1873.6517253917016,4133.891669589299,0.16220839178599072,-288.64978,62.137215,-43.099495,33.555202,-30.263466,-24.174208,-20.175793,-4.748823,-15.624758,-6.789686,-0.67202353,2.244259,1.3650045,mohanam
95,0.11272832,0.29368815,1624.6940034691954,1816.2449051163167,3128.656081444708,0.07433175007256192,-188.75084,106.975136,-26.706402,39.123936,0.83337706,-11.723629,-6.291402,-15.518911,-6.2203665,-6.4861164,-13.806526,-4.5107284,-8.323633,mohanam
96,0.10977664,0.3136776,1416.9714413729992,1753.2132834626395,2827.324570221798,0.05800682989067337,-210.34297,118.25498,-14.337962,44.837414,8.347808,-7.6507034,-1.2574571,-12.41229,-7.772664,-3.0654109,-10.427647,-6.0176563,-5.8555913,mohanam
97,0.10086801,0.2634033,1395.98951570872,1665.8902298527526,2742.7584149151025,0.06307407060274768,-219.54504,118.77174,-16.074533,40.329334,-0.6622269,-7.3305054,-10.017528,-11.074196,-9.250581,-11.878237,-11.875082,-6.400676,-6.4958096,mohanam
98,0.1336808,0.408826,985.2008150905428,1588.9032568818407,1722.8395822247485,0.030332394059597523,-211.4145,151.39723,18.804224,24.990824,5.6409154,9.338469,-2.8804326,-2.868151,-9.505414,-1.8504775,-7.084821,-7.413901,-3.244687,mohanam
99,0.12881896,0.37426558,1048.5190922528707,1600.7532895607844,1933.363309216573,0.03549789570433436,-230.02124,140.6355,18.392733,26.174232,4.7590923,2.7823818,-2.9528255,-2.8698325,-10.497766,-2.4445732,-3.9979782,-7.698812,-3.4919188,mohanam
100,0.022082668,0.21179451,1711.4753407052424,1852.812605886526,3343.088118136852,0.07569417569659442,-404.9773,90.9533,-29.05802,26.385963,-8.055981,-16.445316,-12.389366,-22.119125,-5.743783,2.0614219,-8.9538965,4.199693,1.9746443,mohanam
101,0.031802893,0.2175753,1758.9896529147873,1808.6423392238844,3343.2714503616003,0.07676899912925697,-342.23532,85.63829,-47.08759,15.670076,-16.608232,-18.201738,-15.722839,-19.2002,-8.123085,-0.12448885,-13.10105,-4.128452,-0.5177962,mohanam
102,0.025886595,0.21862638,1557.5360336248823,1803.4876994213585,3081.87303100208,0.060839768164667185,-374.50833,100.40755,-31.132765,29.12097,-3.0834327,-20.449549,-10.893025,-18.506271,-8.775637,-2.2951717,-10.853412,-1.3479925,0.8670162,mohanam
103,0.04733085,0.27961275,1849.1122514123822,1959.6163911133438,3700.427624020414,0.07990692422116873,-258.3911,100.319786,-27.090645,32.059658,-9.200965,-12.561718,-11.53334,-12.517486,-12.181755,-0.74839485,-10.531174,-2.2237728,-2.2098064,mohanam
