,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,tonic
31,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-17,0.01181256,0.22009945,1427.4946347012262,1772.333682735323,2694.6837056162926,0.05656881893382353,-452.02875,105.18732,-4.5375304,7.424794,-3.680545,-0.45641994,-11.010106,-15.629697,-13.740906,-8.711005,-11.025673,-9.052382,-5.4069123,-4.902667,-2.565996,2.6540873,-0.9343958,-2.0772793,0.7447381,2.9258833,138.591315
32,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-18,0.040491223,0.24390721,1879.6886161538046,2108.5525366859188,3903.305563911934,0.07046915060226393,-275.34354,101.37515,-4.326731,13.331251,-22.082542,7.446147,-21.757816,-7.719419,-11.443255,-13.452605,-10.922756,-1.0704912,-8.901784,-6.6267595,-3.8776836,-0.8095811,-6.8800263,-0.12443809,-3.17934,-2.6627357,138.591315
33,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-19,0.04190161,0.23397107,2141.272820213662,2237.4333152471836,4586.655598454431,0.08234549602118808,-279.7353,83.22758,-5.1472163,11.761666,-29.065523,10.327694,-25.580214,-13.558521,-7.4867606,-6.806172,-11.255146,-2.1456022,-10.7699,-5.710574,-2.8643913,-5.2260094,-5.856173,5.3939037,-2.6068773,0.04268058,138.591315
34,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-20,0.045616288,0.2430262,1762.8547676578603,2051.630482855069,3645.6737884427002,0.06289625610729489,-270.18317,106.402534,-9.094256,14.037392,-17.441418,9.016115,-24.941578,-9.273247,-9.028206,-9.156094,-9.175228,-3.2281997,-11.557036,-5.706168,-5.2933774,-4.4139695,-7.04946,0.37636036,-3.5052955,-5.2037416,138.591315
35,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-21,0.043354366,0.24063745,2052.5664073685234,2201.56344586855,4378.969354304736,0.07645456414473684,-274.03745,87.46847,-8.106958,11.449535,-24.329004,7.8976016,-26.3192,-11.782124,-8.073421,-5.5388412,-7.9204493,-2.492127,-12.3241825,-5.591939,-2.4613283,-5.924767,-7.5638747,2.5031552,-4.4906945,-4.3332224,138.591315
36,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-22,0.033694655,0.23380809,1964.2593520343448,2109.0454469789333,4046.92969543646,0.08118412738244969,-312.0029,90.92576,-6.5446353,11.683816,-23.069914,6.308116,-17.412937,-11.041672,-11.837533,-8.535669,-9.849087,-5.650365,-5.169931,-0.09718176,-0.6699283,0.9418573,-6.5932937,-0.375606,-4.0420437,-0.16589251,138.591315
37,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-23,0.03479068,0.23669831,2012.980832852106,2142.7432761600357,4191.853819100112,0.08544525052002709,-314.27637,87.54336,-3.329385,11.307463,-22.421547,12.546302,-14.523259,-12.570953,-10.757249,-6.490317,-10.164424,-3.1521227,-4.9200463,-2.5781133,-5.1988754,-0.7691781,-6.9793515,1.1042109,-4.2962694,1.6215404,138.591315
38,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-24,0.03123515,0.24146721,2036.8336586652183,2137.725284896667,4196.437124718823,0.08728272996081657,-318.2821,88.06481,-6.3380976,9.703115,-21.748356,10.636158,-14.163047,-13.476936,-12.136506,-6.4686246,-10.588187,-3.1710107,-5.027938,-2.7282865,-5.074956,-0.5662637,-3.7507966,2.9956164,-1.9962649,4.765758,138.591315
39,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-25,0.032976877,0.2388431,1994.3380820407438,2138.396341142378,4178.408067071401,0.0861986473248839,-299.23297,93.64796,-7.1438284,10.110896,-23.531206,7.428741,-15.107455,-11.10171,-12.451427,-8.783895,-9.76193,0.22276485,-2.9419665,0.25126326,-2.2419953,0.19173977,-6.3580627,1.2032189,-4.511034,0.00272804,138.591315
40,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-26,0.0365788,0.2560763,1949.1458262597937,2111.515978071663,4105.4251750556305,0.08015635581946594,-284.07275,97.821785,-10.325478,9.405881,-23.908318,5.812048,-20.406258,-9.734705,-10.567434,-9.706672,-9.766374,-2.6335025,-8.568093,-3.1229157,-2.793534,-1.8695931,-3.1559525,3.0279212,-6.9979525,-2.2062037,138.591315
41,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-27,0.034828927,0.24891947,1943.3220814296399,2100.282844417941,4000.3591437088817,0.0765123869243421,-312.99585,90.65305,-7.227932,11.303214,-17.096115,5.9992557,-20.07014,-12.4966,-9.523667,-7.6735425,-9.039968,-4.1625357,-9.649543,-2.887543,-1.9406904,-1.6622986,-4.907885,3.3819225,-2.743711,0.32730672,138.591315
42,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-28,0.029400095,0.2621214,1871.9032151739825,2078.698085878839,3864.5182984532216,0.07769832079624613,-322.20728,100.592384,-6.8774505,8.929461,-18.979153,8.341744,-14.925936,-11.276173,-12.254907,-7.9556,-8.478782,-1.1009654,-8.467239,-1.5650265,-3.4012535,-0.17320965,-4.8520827,2.9843552,-3.55902,0.9095923,138.591315
43,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-29,0.03113178,0.2712035,1694.079654077041,1973.4884848882734,3441.316690828778,0.0691188186314822,-305.57068,113.704865,-11.835457,10.570427,-18.989891,8.286139,-13.394193,-10.666766,-12.640573,-7.80889,-8.355226,-2.1863964,-7.8360205,-5.583913,-6.3832903,-0.28449044,-5.6744523,2.8746111,-5.864671,-0.038776975,138.591315
44,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-30,0.033199187,0.2737181,1755.378674053789,2019.7249977669164,3607.682351505055,0.06832441678357198,-298.72867,107.54119,-9.627963,6.2386026,-18.997543,5.0749207,-15.069076,-12.1801195,-11.301801,-8.301144,-7.6470604,-3.29751,-9.257247,-4.148526,-5.0488544,-0.8627309,-2.9658818,2.933166,-5.509379,0.07496413,138.591315
45,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-31,0.037561085,0.27033138,1898.9468625260397,2090.4802323469203,3975.192629220685,0.0716949557372291,-285.28638,101.21154,-11.634822,11.442993,-20.272823,7.841611,-22.806,-12.424435,-9.90228,-7.620882,-7.51769,-1.2092822,-12.130717,-3.0292044,-3.7409143,-1.9467069,-6.6712627,3.672154,-6.826793,-2.0659504,138.591315
46,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-32,0.025719965,0.31358033,1595.4010359368538,1961.4315302419143,3185.8557355662247,0.05957258005998452,-351.54636,114.67623,7.286032,7.5456223,-12.075155,8.536143,-13.924463,-9.743314,-8.0553875,-5.5734234,-6.890674,-2.9592855,-8.348876,-2.2688105,-1.3088782,0.10792225,-3.4452732,2.1042666,-1.5966052,0.99399287,138.591315
47,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-33,0.020187559,0.3980075,1564.8250114464104,1970.1254989910321,3083.4230216294986,0.0530181979247291,-359.1746,128.72,9.73129,3.732664,-10.662265,11.459396,-10.400969,-3.5092936,-7.0210247,-2.0384085,-4.3908625,-2.7236896,-6.860016,-1.4191842,-1.8680934,0.73648345,-1.1701789,1.4666218,1.0336246,2.2066483,138.591315
48,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-34,0.018152392,0.42023632,1411.9141876916344,1902.0343938008816,2729.258496547262,0.0496712793875774,-365.7293,140.23631,12.0340605,6.5373454,-9.056191,13.443223,-9.920573,-5.131766,-8.598493,-0.8597943,-4.5997634,-2.707311,-7.4380774,-2.0742912,-2.495099,0.07460343,-3.301499,0.45427436,0.0949091,2.0040572,138.591315
49,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-35,0.01908132,0.43138212,1623.9722273444004,2038.9193635548552,3315.542451368397,0.05586946564193111,-346.57928,128.22592,7.4055333,4.3522177,-11.062637,12.978555,-9.42381,-2.0964513,-7.0589256,-1.3614424,-3.820088,-2.5847564,-6.3210034,-1.806486,-2.5478053,1.0306351,-2.0614638,1.4108306,0.9004269,2.6465697,138.591315
50,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-36,0.0379651,0.27298352,1896.0448817240663,2138.4572087892184,3965.7135198728956,0.06896349077254257,-296.4127,98.53063,1.1997893,10.855394,-23.170242,9.963123,-18.697598,-8.179943,-10.923804,-6.6134095,-9.476172,-3.3115258,-10.6135845,-7.706912,-0.79321307,-1.313429,-6.6286726,1.8541657,-2.9561217,0.38693562,138.591315
51,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Evarura/Evarura.mp3.mp3-37,0.006374499,0.30583823,1877.3678824776741,2172.3211845537135,3967.378137466755,0.07194876163563829,-454.62213,109.32741,-3.0184643,22.676472,-7.916561,9.331002,-10.570073,-9.513827,-14.418461,-10.182155,-8.102425,-2.4224367,-7.9415593,-2.4203835,0.25858074,3.427195,-9.086288,-2.1157308,0.47527343,3.9212296,138.591315
52,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Eranapai/Eranapai.mp3.mp3-1,0.034650084,0.25857097,1837.2383129542272,2051.9572407486507,3771.1855294903735,0.06710976048519737,-303.7918,94.96439,-15.695373,12.317986,-16.335934,1.9667194,-28.784184,-14.035705,-7.4704976,-9.576705,-5.6244626,-2.6097004,-13.110427,-4.15065,-4.6750336,-6.4712214,-11.14012,0.87880856,-5.0099325,-7.7965097,138.591315
53,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Eranapai/Eranapai.mp3.mp3-2,0.042603943,0.28130957,2012.8160416137657,2194.4396348934383,4272.269999501137,0.07791203832478716,-251.69873,97.61067,-7.737869,13.320872,-18.938814,4.4564548,-26.363722,-10.416888,-6.5301313,-11.989454,-11.522479,3.4065278,-10.818751,-2.7713034,-2.7557278,-4.840426,-9.374864,3.6903942,-8.2075405,-6.7940617,138.591315
54,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Eranapai/Eranapai.mp3.mp3-3,0.043746598,0.31902465,1914.767463408968,2146.180840390037,4094.6210737198867,0.07254642451141641,-234.28014,106.98506,-10.348358,13.261086,-17.769001,5.0078607,-25.770973,-9.430084,-6.594782,-12.56839,-10.359585,3.9455326,-13.727261,-2.2855089,-4.485077,-5.4953494,-9.458445,3.2407978,-9.062283,-4.67076,138.591315
55,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Eranapai/Eranapai.mp3.mp3-4,0.031679332,0.29104063,1923.6940841824892,2187.639259654186,4089.526163056543,0.06860718998223245,-285.32556,103.66936,-2.4856863,17.833372,-14.835469,8.102835,-20.366756,-10.433718,-7.229319,-9.130991,-12.22311,1.6708615,-11.839927,-2.4829755,-4.172992,-5.4426546,-4.858286,3.4925044,-9.058075,-2.228999,138.591315
56,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Parama Purusham/Parama Purusham.mp3.mp3-1,0.030936152,0.2491316,1639.8880425203608,1962.6622477861013,3379.0295674704917,0.05571149229634288,-325.95825,106.0688,-12.794297,13.088098,-13.832083,4.5292416,-23.445637,-11.394529,-11.14962,-10.547222,-5.427741,-3.6875367,-11.341523,-5.0466647,-3.8584087,-5.6311517,-11.124786,0.15794279,-1.8137879,-3.3767257,138.591315
57,D:/carnatic/Ashwath Narayanan at Arkay by Ashwath Narayanan/Parama Purusham/Parama Purusham.mp3.mp3-2,0.034606826,0.2575169,1836.3530798013367,2069.543616930731,3840.205945466694,0.06934878700657894,-289.43875,103.46944,-4.6420918,18.632874,-14.664406,8.253004,-23.510658,-10.168612,-10.35505,-12.010503,-7.821217,-2.0743148,-11.582802,-2.60226,-1.1295444,-5.4078155,-8.588927,2.4382582,-3.912409,-4.699108,138.591315
